INCIDENTDATE,INCIDENTHOUR,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTHIERARCHYDESC,OFFENSES,X,Y
2022-09-13,11,"Blvd Of The Allies & Bates St Pittsburgh, PA 15213",Central Oakland,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-79.9564106562667,40.4351318879698
2022-09-13,12,"Centre Ave & Addison St Pittsburgh, PA 15219",Middle Hill,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-79.9564106562667,40.4351318879698
2022-09-13,8,"1200 Block Liverpool St Pittsburgh, PA 15233",Manchester,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-80.0227871421298,40.4556995199787
2022-09-12,19,"800 Block Freeport Rd Pittsburgh, PA 15215",Lincoln-Lemington-Belmar,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,-79.8975765737857,40.4878700630933
2022-09-13,12,"6200 Block Penn Ave Pittsburgh, PA 15206",East Liberty,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,-79.92259331497,40.4601393368172
2022-09-13,12,"200 Block N Aiken Ave Pittsburgh, PA 15206",Garfield,99,9999 9999 - (Misc. Incident): ,-79.9376087390645,40.4633274721189
2022-09-10,5,"5500 Block Phillips Ave Pittsburgh, PA 15217",Squirrel Hill South,HARRASSMENT,2709 Harassment (Non-Specific),-79.929837746765,40.4307251183039
2022-09-13,14,"4400 Block Cassabill Dr Pittsburgh, PA 15120",New Homestead,99,9994 PFA Service,,
2022-09-13,12,"8100 Block Frankstown Ave Pittsburgh, AL 15221",East Hills,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",-79.883333619928,40.4554463294613
2022-09-13,14,"E Agnew Ave & Brownsville Rd Pittsburgh, PA 15210",Carrick,SIMPLE ASSAULT,2701 Simple Assault. / 5503 Disorderly Conduct.,-79.9867455316832,40.3951094522547
2022-09-13,15,"2900 Block Sheraden Blvd Pittsburgh, PA 15204",Sheraden,SIMPLE ASSAULT,2701 Simple Assault.,,
2022-09-13,14,"Centre Ave & Allequippa St Pittsburgh, PA 15213",North Oakland,99,1785 Proof of Financial Responsibility Following Accident.,-79.9584765175833,40.448457179627
2022-09-13,16,"Queensboro Ave & Woodbourne Ave Pittsburgh, PA 15226",Brookline,99,9999 (Misc. Crime): ,-80.0185603893794,40.3903562189699
2022-09-13,15,"Forbes Ave & Smithfield St Pittsburgh, PA 15222",Central Business District,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9990967243697,40.4394210627718
2022-09-13,16,"3800 Block California Ave Pittsburgh, PA 15212",Brighton Heights,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.,-80.0405028825915,40.4844164741589
2022-09-13,13,"6400 Block Penn Ave Pittsburgh, PA 15206",Larimer,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,-79.917435063919,40.4575134909614
2022-09-13,17,"5500 Block Centre Ave Pittsburgh, PA 15232",Shadyside,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9364516460773,40.4565706706801
2022-09-13,7,"5th Ave & Shady Ave Pittsburgh, PA 15206",Shadyside,99,9999 9999 - (Misc. Incident): ,-79.9207158563846,40.452902087372
