	id	Title	Zone	Description	Tag
0	1	Cathedral of Learning	Oakland	A skyscraper on Pitt's campus that features the Nationality Rooms- dozens of themed classrooms from around the world.	B
1	2	Children's Museum	North Side	Pittsburgh's museum dedicated to children's activities.	B
2	3	Carnegie Science Center	North Side	A science focused museum with multiple wings, special exhibits (extra ticket), and more.	B
3	4	Rangos Giant Cinema at the Science Center	North Side	IMAX screen at the Science Center showing Hollywood movies and documentaries.	B
4	5	USS Requin	North Side	A submarine open for tours at the Science Center. Included with Science Center ticket or available a la carte for visitors.	B
5	6	Pittsburgh Zoo and Aquarium	Highland Park	Combination zoo and aquarium on a single ticket.	B
6	7	Rivers of Steel PGH 101	North Side	A ~90 minute river cruise by the Rivers of Steel Heritage Foundation.	B
7	8	Gateway Clipper	South Side	A popular 60 minute river cruise for sightseeing.	B
8	9	Free Pittsburgh Walking Tours	Downtown	Free walking tours of the city to learn its history, quirks, and charm. Neighborhood tours available as well!	B
9	10	Discover the Burgh's Walking Tour	Many Neighborhoods	Take our five-mile, self-guided walking tour through Downtown, Station Square, Mount Washington, and the North Side!	B
10	11	Primanti Brothers	Strip District	The only restaurant featured in this guide as it is a local institution for fries and coleslaw on a sandwich. Best in the Strip Distirct. Better when drinking.	B
11	12	Explore the 90 Neighborhoods		Exploring a new neighborhood is one of our favorite activities, and Pittsburgh has 90 of them to choose from!	B
12	13	Bicycle Heaven	North Side	The world's largest bicycle store and museum. Don't miss the 2nd floor showroom!	B
13	14	Johnny Angel's Ginchy Stuff	North Side	A music store all about local musician Johnny Angel and his long career (right next to Bicycle Heaven).	B
14	15	Frick House	Point Breeze	Mansion tour for steel magnate Henry Clay Frick. Great to learn local steel history.	B
15	16	National Aviary	North Side	All things birds at the Aviary with a few non-winged creatures as well!	B
16	17	Roberto Clemente Museum	Lawrenceville	A small museum dedicated to the Pittsburgh Pirates legend.	B
17	18	Fort Pitt Museum	Downtown	A modest museum at Point State Park dedicated to the history of the early settlements in the area.	B
18	19	Wood Street Galleries	Downtown	A small two-floor gallery by the Cultural Trust in the T Station of the same name.	B
19	20	Mattress Factory	North Side	A contemporary art museum that truly has something for everyone.	B
20	21	Penguins Game	Downtown	Cheer on the Penguins for some hockey!	B
21	22	Penguins Practice at the Lemieux Complex	Cranberry	Watch the Penguins at their public practices.	B
22	23	Steelers Game	North Side	Find out why we're called Steeler nation at a football game.	B
23	24	Steelers Training Camp	Latrobe	Pre-season training camp in July and August.	B
24	25	Sunflower Festivals	Various Locations	Sunflower festivals, mazes, and other events in July and August.	B
25	26	Pitt Panthers Game	North Side	Cheer on the Panthers during a college game at Acrisure Stadium.	B
26	27	Pirates Game	North Side	Check out the Pirates while enjoying one of the most beautiful ballparks in the country.	B
27	28	Riverhounds Game	South Side	Root for our local soccer team with some stunning city views in the background.	B
28	29	PNC Park Tour	North Side	Take a tour of PNC Park and visit on a non-game, non-travel day to get into the Club House!	B
29	30	Acrisure Stadium Tour	North Side	Take a behind the scenes tour of Acrisure Stadium.	B
30	31	PPG Paints Arena Tour	Downtown	Take a behind the scenes tour of PPG Paints Arena	B
31	32	Mario Lemieux Sports Complex Tour	Cranberry	Check out the practice rinks at the Lemieux complex for a behind the scenes tour or to simply watch the Pens practice during the season.	B
32	33	Lumberjaxes Ax Throwing	Multiple Locations	Take some steam off by throwing sharp objects at a wooden target.	B
33	34	Sliders Curling	Millvale	Hit the ice for a variant of curling at this pop-up complex at Lumberjaxes Millvale.	B
34	35	Holocaust Center	Greenfield	Small exhibit for the Holocaust and seasonal displays in Greenfield.	B
35	36	Kennywood	West Mifflin	Enjoy the rides at Pittsburgh's own amusement park.	B
36	37	Sandcastle	West Homestead	A popular waterpark located just outside of the city.	B
37	38	Idlewild & Soakzone	Laurel Highlands	A children's theme park and large waterpark located an hour southeast of Pittsburgh.	B
38	39	The Big Mac Museum	North Huntingdon	A small museum inside a McDonald's to celebrate the Big Mac (which was invented nearby).	B
39	40	Burgh Bits and Bites Food Tour	Multiple locations	A popular food tour with many options in southwest PA.	B
40	41	Ascend	South Side	A bouldering and rock climbing gym with stellar city views.	B
41	42	Trader Jacks	Bridgeville	A popular flea market during the weekend with dozens upon dozens of vendors.	B
42	43	Allegheny Observatory	North Side	An operational observatory with limited tours in the summer months with advanced reservation.	B
